62.24.122.22 - - [15/Feb/2019:09:56:28 +0300] "GET /aua/layerslider/skins/v5/loading.gif HTTP/1.1" 200 4406
62.24.122.22 - - [15/Feb/2019:09:56:29 +0300] "GET /aua/assets/img/slides/slide_2.jpg HTTP/1.1" 200 104154
62.24.122.22 - - [15/Feb/2019:09:56:30 +0300] "GET /aua/img/course_6_thumb.jpg HTTP/1.1" 404 1108
62.24.122.22 - - [15/Feb/2019:09:56:36 +0300] "GET /aua/assets/img/slides/slide_3.jpg HTTP/1.1" 200 127233
62.24.122.22 - - [15/Feb/2019:09:56:44 +0300] "GET /aua/assets/img/slides/slide_4.jpg HTTP/1.1" 200 67452
62.24.122.22 - root [15/Feb/2019:10:02:54 +0300] "GET /aua/c_umis.jsp?view=101:0 HTTP/1.1" 200 82996
62.24.122.22 - root [15/Feb/2019:10:02:56 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
31.217.213.124 - - [15/Feb/2019:10:03:38 +0300] "GET / HTTP/1.1" 200 32966
62.24.122.22 - root [15/Feb/2019:10:09:04 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
62.24.122.22 - root [15/Feb/2019:10:09:04 +0300] "GET /aua/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
62.24.122.22 - root [15/Feb/2019:10:09:04 +0300] "GET /aua/c_umis.jsp?view=819:0 HTTP/1.1" 200 69321
62.24.122.22 - root [15/Feb/2019:10:09:04 +0300] "GET /aua/assets/admin/layout4/css/custom.css HTTP/1.1" 200 9646
62.24.122.22 - root [15/Feb/2019:10:09:04 +0300] "GET /aua/assets/jsgrid/jsgrid-theme.min.css HTTP/1.1" 200 24576
62.24.122.22 - root [15/Feb/2019:10:09:07 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 262
62.24.122.22 - root [15/Feb/2019:10:09:07 +0300] "GET /aua/assets/admin/layout4/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 1175
62.24.122.22 - root [15/Feb/2019:10:09:07 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4549
62.24.122.22 - root [15/Feb/2019:10:09:07 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
62.24.122.22 - root [15/Feb/2019:10:09:08 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
62.24.122.22 - root [15/Feb/2019:10:09:08 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
62.24.122.22 - root [15/Feb/2019:10:09:09 +0300] "GET /aua/c_umis.jsp?view=819:1&data= HTTP/1.1" 200 69429
62.24.122.22 - root [15/Feb/2019:10:09:09 +0300] "GET /aua/assets/admin/layout4/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 1175
62.24.122.22 - root [15/Feb/2019:10:09:11 +0300] "GET /aua/jsondata?_search=false&nd=1550213535955&rows=30&page=1&sidx=&sord=asc HTTP/1.1" 200 264583
62.24.122.22 - root [15/Feb/2019:10:09:11 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 348
62.24.122.22 - root [15/Feb/2019:10:09:17 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_highlight-soft_75_ffe45c_1x100.png HTTP/1.1" 200 328
62.24.122.22 - root [15/Feb/2019:10:09:18 +0300] "GET /aua/c_umis.jsp?view=819:1:0&data=1639 HTTP/1.1" 200 69061
62.24.122.22 - root [15/Feb/2019:10:09:18 +0300] "GET /aua/assets/admin/layout4/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 1175
62.24.122.22 - root [15/Feb/2019:10:09:18 +0300] "GET /aua/jsondata?_search=false&nd=1550213545195&rows=30&page=1&sidx=&sord=asc HTTP/1.1" 200 84
62.24.122.22 - root [15/Feb/2019:10:09:19 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
62.24.122.22 - root [15/Feb/2019:10:09:20 +0300] "GET /aua/assets/global/plugins/jquery-ui/jquery-ui-1.10.3.custom.min.css HTTP/1.1" 200 27155
62.24.122.22 - root [15/Feb/2019:10:09:20 +0300] "GET /aua/c_umis.jsp?view=819:1:2&data=1639 HTTP/1.1" 200 64195
62.24.122.22 - root [15/Feb/2019:10:09:20 +0300] "GET /aua/assets/global/plugins/select2/select2.png HTTP/1.1" 200 586
62.24.122.22 - root [15/Feb/2019:10:09:33 +0300] "GET /aua/assets/global/css/plugins.css HTTP/1.1" 200 50628
62.24.122.22 - root [15/Feb/2019:10:09:33 +0300] "GET /aua/c_umis.jsp?view=819:1&data= HTTP/1.1" 200 69429
62.24.122.22 - root [15/Feb/2019:10:09:33 +0300] "GET /aua/assets/admin/layout4/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 1175
62.24.122.22 - root [15/Feb/2019:10:09:37 +0300] "GET /aua/jsondata?_search=false&nd=1550213560158&rows=30&page=1&sidx=&sord=asc HTTP/1.1" 200 264583
62.24.122.22 - root [15/Feb/2019:10:09:48 +0300] "GET /aua/jsondata?_search=false&nd=1550213534261&rows=30&page=1&sidx=&sord=asc HTTP/1.1" 200 82012
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/c_umis.jsp HTTP/1.1" 200 16236
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/css/base.css HTTP/1.1" 200 1182
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/jquery-1.11.2.min.js HTTP/1.1" 200 95939
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/common_scripts_min.js HTTP/1.1" 200 158663
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/css/tabs.css HTTP/1.1" 200 3424
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/functions.js HTTP/1.1" 200 5604
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/validate.js HTTP/1.1" 200 15132
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/layerslider/js/greensock.js HTTP/1.1" 200 53041
62.24.122.22 - - [15/Feb/2019:10:14:00 +0300] "GET /aua/assets/js/layerslider/js/layerslider.transitions.js HTTP/1.1" 200 21111
62.24.122.22 - - [15/Feb/2019:10:14:01 +0300] "GET /aua/assets/fonts/proxima/fonts.min.css HTTP/1.1" 200 3326
62.24.122.22 - - [15/Feb/2019:10:14:01 +0300] "GET /aua/assets/js/layerslider/js/layerslider.kreaturamedia.jquery.js HTTP/1.1" 200 56437
62.24.122.22 - - [15/Feb/2019:10:14:01 +0300] "GET /aua/assets/css/animate.min.css HTTP/1.1" 200 53436
62.24.122.22 - - [15/Feb/2019:10:14:01 +0300] "GET /aua/assets/css/bootstrap.min.css HTTP/1.1" 200 122544
62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/css/menu.css HTTP/1.1" 200 8371
62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/css/responsive.css HTTP/1.1" 200 4318
62.24.122.22 - - [15/Feb/2019:10:14:02 +0300] "GET /aua/assets/fonts/elegant_font/elegant_font.min.css HTTP/1.1" 200 21750
